4,Edgar Lindenau Aabye,Male,34,Over 30,,,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
15,Arvo Ossian Aaltonen,Male,30,25-30,,,FIN,1920,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,Male,30,25-30,,,FIN,1920,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,Male,28,25-30,175,64,FIN,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
17,Paavo Johannes Aaltonen,Male,32,Over 30,175,64,FIN,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
21,Ragnhild Margrethe Aamodt,Female,27,25-30,163,,NOR,2008,Handball,Handball Women's Handball,Gold
25,Alf Lied Aanning,Male,24,18-25,,,NOR,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
29,Willemien Aardenburg,Female,22,18-25,,,NED,1988,Hockey,Hockey Women's Hockey,Bronze
30,Pepijn Aardewijn,Male,26,25-30,189,72,NED,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
37,Ann Kristin Aarnes,Female,23,18-25,182,64,NOR,1996,Football,Football Women's Football,Bronze
38,Karl Jan Aas,Male,20,18-25,,,NOR,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
4841,Daniel Aranzubia Aguado,Male,20,18-25,184,75,ESP,2000,Football,Football Men's Football,Silver
4842,Ren Araou,Male,21,18-25,178,98,FRA,1924,Rugby,Rugby Men's Rugby,Silver
4847,Franjo Arapovi,Male,23,18-25,211,120,YUG,1988,Basketball,Basketball Men's Basketball,Silver
4847,Franjo Arapovi,Male,27,25-30,211,120,CRO,1992,Basketball,Basketball Men's Basketball,Silver
42,Thomas Valentin Aas,Male,25,18-25,,,NOR,1912,Sailing,Sailing Mixed 8 metres,Gold
9382,"Michael ""Mike"" Begley",Male,31,Over 30,,,USA,1904,Rowing,Rowing Men's Coxless Fours,Silver
9383,"Elizabeth Anne ""Beth"" Beglin",Female,27,25-30,165,58,USA,1984,Hockey,Hockey Women's Hockey,Bronze
9385,Irina Anatolyevna Beglyakova (-Chelnaya),Female,23,18-25,,,URS,1956,Athletics,Athletics Women's Discus Throw,Silver
9391,Louis Bguet,Male,29,25-30,172,99,FRA,1924,Rugby,Rugby Men's Rugby,Silver
9394,Adriana Brando Behar,Female,31,Over 30,180,64,BRA,2000,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
